Subject,Relation,Object
cn:brie_cheese,rdfs:subClassOf,cn:cheese
cn:fruit,cn:usedFor,cn:consumption
cn:yellow,rdfs:subClassOf,cn:chromatic
cn:beef_wellington,rdfs:subClassOf,cn:dish
cn:cortinarius_armillatus,rdfs:subClassOf,cn:agaric
cn:cat,cn:desires,cn:food
cn:meat,cn:usedFor,cn:feed_dog
cn:liquefiable,cn:similarTo,cn:liquid
cn:kissel,cn:instanceOf,cn:dessert
cn:yellow_green,rdfs:subClassOf,cn:green
cn:volvariella_volvacea,rdfs:subClassOf,cn:fungus
cn:liquid,cn:capableOf,cn:boil
cn:equatorial_guinea,rdfs:subClassOf,cn:state
cn:oval,cn:hasProperty,cn:round
cn:dish,cn:usedFor,cn:letching_at
cn:food,cn:hasProperty,cn:solid_or_liquid
cn:living_thing,rdfs:subClassOf,cn:fixed_functional_system
cn:chilled_sweet_corn_soup,rdfs:subClassOf,cn:soup
cn:kroppkaka,rdfs:subClassOf,cn:food
cn:color,rdfs:subClassOf,cn:attribute_of_objects
cn:kiribati,rdfs:subClassOf,cn:state
cn:stroopwafel,rdfs:subClassOf,cn:food
cn:galette,rdfs:subClassOf,cn:food
cn:vegetable,rdfs:subClassOf,cn:food
cn:vegan_grilled_cheese_sandwich,rdfs:subClassOf,cn:sandwich
cn:sausage,cn:similarTo,cn:allantois
cn:oval,rdfs:subClassOf,cn:figure
cn:twinkie,rdfs:subClassOf,cn:food
cn:brown,rdfs:subClassOf,cn:color
cn:true_fungus,rdfs:subClassOf,cn:fungus
cn:candida_tropicalis,rdfs:subClassOf,cn:fungus
cn:soap,cn:capableOf,cn:liquid
cn:state,rdfs:subClassOf,cn:position_within_system
cn:green_tomato,rdfs:subClassOf,cn:green
cn:sorbet,cn:instanceOf,cn:frozen_dessert
cn:clover,cn:hasProperty,cn:green
cn:dullness,rdfs:subClassOf,cn:shape
cn:recovered_thing,rdfs:subClassOf,cn:living_thing
cn:fruit,cn:usedFor,cn:garnish
cn:sushi_bento,rdfs:subClassOf,cn:course
cn:heather_mixture,rdfs:subClassOf,cn:color
cn:purple,rdfs:subClassOf,cn:secondary_colour
cn:spanish_omelette,rdfs:subClassOf,cn:food
cn:subway,cn:dbpedia/product,cn:pizza
cn:lychee,rdfs:subClassOf,cn:fruit
cn:naan,cn:instanceOf,cn:bread
cn:biangbiang_noodles,rdfs:subClassOf,cn:food
cn:republican,cn:similarTo,cn:green
cn:kazakh_state,rdfs:subClassOf,cn:state
cn:cd,cn:hasProperty,cn:solid
cn:kho,rdfs:subClassOf,cn:food
cn:snow_cone,rdfs:subClassOf,cn:food
cn:chain,cn:usedFor,cn:decoration
cn:tree,rdfs:subClassOf,cn:living_thing
cn:petit_four,rdfs:subClassOf,cn:food
cn:eat_hamburger,cn:motivatedByGoal,cn:meat
cn:euphonious,cn:similarTo,cn:golden
cn:plate,cn:usedFor,cn:decoration
cn:falafel,rdfs:subClassOf,cn:dish
cn:grey,rdfs:subClassOf,cn:color
cn:one_possible_product_of_gardening,cn:capableOf,cn:vegetables
cn:trumpet,cn:hasProperty,cn:solid
cn:minestrone,cn:instanceOf,cn:soup
cn:collard_greens,rdfs:subClassOf,cn:vegetable
cn:eritrea,rdfs:subClassOf,cn:state
cn:shade,rdfs:subClassOf,cn:color
cn:toadstool,rdfs:subClassOf,cn:toxic_substance
cn:oyster_mushroom,rdfs:subClassOf,cn:agaric
cn:star,rdfs:subClassOf,cn:shape
cn:bean,rdfs:subClassOf,cn:vegetable
cn:stropharia_hornemannii,rdfs:subClassOf,cn:agaric
cn:tamale_pie,rdfs:subClassOf,cn:dish
cn:tricholoma_vaccinum,rdfs:subClassOf,cn:agaric
cn:solyanka,rdfs:subClassOf,cn:food
cn:lamb,rdfs:subClassOf,cn:meat
cn:speculoos,rdfs:subClassOf,cn:food
cn:muscle,cn:madeOf,cn:meat
cn:challah,rdfs:subClassOf,cn:bread
cn:strawberry,rdfs:subClassOf,cn:herb
cn:hen_of_woods,rdfs:subClassOf,cn:fungus
cn:mess,rdfs:subClassOf,cn:nutriment
cn:strawberry,rdfs:subClassOf,cn:accessory_fruit
cn:ribbon,cn:capableOf,cn:color
cn:croquembouche,cn:instanceOf,cn:dessert
cn:club_sandwich,rdfs:subClassOf,cn:sandwich
cn:wood,rdfs:subClassOf,cn:solid
cn:county,cn:partOf,cn:state
cn:boston_cream_pie,cn:instanceOf,cn:dessert
cn:semicircular,rdfs:subClassOf,cn:circular
cn:ice_cream,cn:hasA,cn:sugar_which_sweet
cn:pastry,rdfs:subClassOf,cn:baked_goods
cn:polyporaceae,rdfs:subClassOf,cn:fungus
cn:gumbo,rdfs:subClassOf,cn:soup
cn:skilandis,rdfs:subClassOf,cn:food
cn:baking_cake,cn:usedFor,cn:dessert
cn:baked_alaska,cn:instanceOf,cn:dessert
cn:abgoosht,rdfs:subClassOf,cn:food
cn:pea_soup,rdfs:subClassOf,cn:food
cn:scrapple,rdfs:subClassOf,cn:dish
cn:okroshka,rdfs:subClassOf,cn:food
cn:cracker,rdfs:subClassOf,cn:bread
cn:udon,rdfs:subClassOf,cn:food
cn:meat,rdfs:subClassOf,cn:animal_flesh
cn:color,rdfs:subClassOf,cn:timbre
cn:brie,rdfs:subClassOf,cn:cheese
cn:green_bean,rdfs:subClassOf,cn:vegetable
cn:bathing_cap,rdfs:subClassOf,cn:cap
cn:brioche,cn:instanceOf,cn:dessert
cn:turkey_flesh,rdfs:subClassOf,cn:meat
cn:sarcoscypha_coccinea,rdfs:subClassOf,cn:fungus
cn:white_bread,rdfs:subClassOf,cn:bread
cn:object,cn:capableOf,cn:disappear_from_sight
cn:zabaglione,rdfs:subClassOf,cn:dessert
cn:cumquat,rdfs:subClassOf,cn:fruit
cn:cortinarius_mutabilis,rdfs:subClassOf,cn:agaric
cn:pretzel,cn:instanceOf,cn:bread
cn:wrap,rdfs:subClassOf,cn:sandwich
cn:lemon,rdfs:subClassOf,cn:yellow
cn:mofongo,rdfs:subClassOf,cn:food
cn:tortilla,cn:usedFor,cn:make_taco
cn:leaf,cn:usedFor,cn:play_adam_or_eve
cn:most_grass,cn:hasProperty,cn:green
cn:egg_roll,rdfs:subClassOf,cn:dish
cn:entertaining_people,cn:hasPrerequisite,cn:food
cn:bamiyeh,rdfs:subClassOf,cn:food
cn:bakewell_tart,rdfs:subClassOf,cn:food
cn:bread,cn:usedFor,cn:tearing
cn:spare_part,rdfs:subClassOf,cn:part
cn:albatrellus_ovinus,rdfs:subClassOf,cn:fungus
cn:ruminant_flesh,rdfs:subClassOf,cn:meat
cn:tanning_lotion,cn:hasProperty,cn:liquid
cn:pla_ra,rdfs:subClassOf,cn:food
cn:eggplant,rdfs:subClassOf,cn:vegetable
cn:penicillium,rdfs:subClassOf,cn:fungus
cn:rum_ball,rdfs:subClassOf,cn:food
cn:fruit,rdfs:subClassOf,cn:external_anatomical_part
cn:hamburger,cn:similarTo,cn:fish_burger
cn:lot_of_plants,cn:hasProperty,cn:green
cn:fistulina_hepatica,rdfs:subClassOf,cn:fungus
cn:parmesan,rdfs:subClassOf,cn:cheese
cn:bacon_and_eggs,rdfs:subClassOf,cn:dish
cn:municipality,rdfs:subClassOf,cn:state
cn:false_truffle,rdfs:subClassOf,cn:fungus
cn:vegetable,rdfs:subClassOf,cn:herb
cn:vegetables,cn:hasProperty,cn:green
cn:corn,rdfs:subClassOf,cn:food
cn:phytophthora_infestans,rdfs:subClassOf,cn:fungus
cn:mineral,rdfs:subClassOf,cn:solid
cn:porridge,rdfs:subClassOf,cn:dish
cn:lutefisk,rdfs:subClassOf,cn:dish
cn:fruit,cn:hasA,cn:seeds
cn:vegetables,cn:hasProperty,cn:good_for_health
cn:car,cn:hasProperty,cn:green
cn:living_thing,rdfs:subClassOf,cn:naturally_occurring_tangible_substance
cn:bread,cn:usedFor,cn:drying_to_make_stuffing
cn:ham_sandwich,rdfs:subClassOf,cn:sandwich
cn:cheese,cn:madeOf,cn:milk
cn:food,rdfs:subClassOf,cn:foundation_for_health
cn:grated_cheese,rdfs:subClassOf,cn:cheese
cn:meze,rdfs:subClassOf,cn:food
cn:banana,cn:hasProperty,cn:yellow
cn:fruit,cn:receivesAction,cn:made_into_jellies
cn:hamburger,rdfs:subClassOf,cn:very_fatty_food
cn:chronic,rdfs:subClassOf,cn:living_thing
cn:fruit,cn:hasProperty,cn:colorful
cn:food,cn:hasProperty,cn:important_to_health
cn:glass,cn:hasProperty,cn:solid
cn:loreleia,rdfs:subClassOf,cn:fungus
cn:we,cn:capableOf,cn:state
cn:pilaf,rdfs:subClassOf,cn:dish
cn:loose_meat_sandwich,rdfs:subClassOf,cn:sandwich
cn:saucer,rdfs:subClassOf,cn:dish
cn:grass_broccoli_and_many_other_plants,cn:hasProperty,cn:green
cn:dartboard,rdfs:subClassOf,cn:object
cn:legume,rdfs:subClassOf,cn:vegetable
cn:entoloma_aprile,rdfs:subClassOf,cn:agaric
cn:sausage,cn:similarTo,cn:haggis
cn:pluteus_magnus,rdfs:subClassOf,cn:agaric
cn:bread,cn:hasA,cn:yeast
cn:canned_food,rdfs:subClassOf,cn:foodstuff
cn:cuboid,rdfs:subClassOf,cn:parallelepiped
cn:man_on_horse,rdfs:subClassOf,cn:agaric
cn:milkcap,rdfs:subClassOf,cn:agaric
cn:fruit,cn:capableOf,cn:taste_sweet
cn:snail,rdfs:subClassOf,cn:meat
cn:chili,rdfs:subClassOf,cn:dish
cn:gouda,rdfs:subClassOf,cn:cheese
cn:sausage,cn:usedFor,cn:food
cn:eat,cn:motivatedByGoal,cn:food
cn:meat,cn:usedFor,cn:animals_to_eat
cn:filet_mignon,rdfs:subClassOf,cn:food
cn:tortillas,cn:hasProperty,cn:circular
cn:sundae,cn:instanceOf,cn:ice_cream
cn:tremellaceae,rdfs:subClassOf,cn:fungus
cn:cyan,rdfs:subClassOf,cn:color
cn:fruit,cn:usedFor,cn:paring
cn:halva,rdfs:subClassOf,cn:food
cn:food,cn:capableOf,cn:rots_with_age
cn:health_food,rdfs:subClassOf,cn:food
cn:matzo,rdfs:subClassOf,cn:bread
cn:chocolate_candy,rdfs:subClassOf,cn:chocolate
cn:sick_thing,rdfs:subClassOf,cn:living_thing
cn:bread,rdfs:subClassOf,cn:commonly
cn:sinseollo,rdfs:subClassOf,cn:food
cn:fish,rdfs:subClassOf,cn:meat
cn:sundae,cn:madeOf,cn:ice_cream
cn:region_of_england,rdfs:subClassOf,cn:state
cn:pinkness,rdfs:subClassOf,cn:pink
cn:blasiphalia,rdfs:subClassOf,cn:fungus
cn:steak_and_kidney_pie,rdfs:subClassOf,cn:food
cn:chicken_kiev,rdfs:subClassOf,cn:food
cn:meat,cn:usedFor,cn:buying
cn:open_bag_of_chips,cn:motivatedByGoal,cn:food
cn:vegetables,cn:receivesAction,cn:served_in_dishes
cn:jade,cn:hasProperty,cn:green
cn:royal_agaric,rdfs:subClassOf,cn:agaric
cn:inky_cap,rdfs:subClassOf,cn:agaric
cn:every_part,rdfs:subClassOf,cn:whole
cn:kulcha,rdfs:subClassOf,cn:food
cn:pirog,rdfs:subClassOf,cn:food
cn:fruit,rdfs:subClassOf,cn:rarely
cn:milk_of_echidna,rdfs:subClassOf,cn:pink
cn:finger_food,rdfs:subClassOf,cn:nutriment
cn:green,rdfs:subClassOf,cn:colour_of_rainbow
cn:dumpling,rdfs:subClassOf,cn:dessert
cn:khinkali,rdfs:subClassOf,cn:food
cn:bagel,rdfs:subClassOf,cn:bread
cn:tortilla,rdfs:subClassOf,cn:structural_element_in_taco
cn:cookie,rdfs:subClassOf,cn:food
cn:bisque,cn:instanceOf,cn:soup
cn:aggregate_fruit,rdfs:subClassOf,cn:fruit
cn:trichophyton,rdfs:subClassOf,cn:fungus
cn:dushbara,rdfs:subClassOf,cn:food
cn:liquid,cn:similarTo,cn:runny
cn:ice_milk,rdfs:subClassOf,cn:food
cn:blusher,rdfs:subClassOf,cn:fungus
cn:sheep_flesh,rdfs:subClassOf,cn:meat
cn:oval,rdfs:subClassOf,cn:round_thing
cn:meat,cn:receivesAction,cn:found_in_steak_hous
cn:bread_crumb,rdfs:subClassOf,cn:bread
cn:ion,cn:dbpedia/product,cn:chocolate
cn:island_group,rdfs:subClassOf,cn:state
cn:bread,rdfs:subClassOf,cn:finger_food
cn:poi,rdfs:subClassOf,cn:dish
cn:leaf,cn:usedFor,cn:collecting_nutrients_for_plant
cn:peach,cn:hasA,cn:pit
cn:bird's_nest_fungus,rdfs:subClassOf,cn:fungus
cn:banana,cn:instanceOf,cn:fruit
cn:shortbread,rdfs:subClassOf,cn:bread
cn:yellow,cn:definedAs,cn:colour_of_cowardice
cn:cylinder,rdfs:subClassOf,cn:shape
cn:cheese,rdfs:subClassOf,cn:food
cn:brunost,rdfs:subClassOf,cn:food
cn:applesauce,rdfs:subClassOf,cn:dish
cn:bay_leaf,rdfs:subClassOf,cn:leaf
cn:braunschweiger,rdfs:subClassOf,cn:food
cn:chestnut,rdfs:subClassOf,cn:fruit
cn:radiigera_fuscogleba,rdfs:subClassOf,cn:fungus
cn:orange_yellow,rdfs:subClassOf,cn:yellow
cn:guacamole,rdfs:subClassOf,cn:food
cn:food,cn:receivesAction,cn:served_on_plate
cn:administrative_county_of_england,rdfs:subClassOf,cn:state
cn:most_televisions_sold_today,cn:hasProperty,cn:color
cn:scutiger,rdfs:subClassOf,cn:fungus
cn:neapolitan_ice_cream,rdfs:subClassOf,cn:food
cn:puree,rdfs:subClassOf,cn:nutriment
cn:okra,rdfs:subClassOf,cn:fruit
cn:cube,rdfs:subClassOf,cn:shape
cn:prefecture,rdfs:subClassOf,cn:state
cn:lettuce,cn:dbpedia/genus,cn:lactuca
cn:parasol_mushroom,rdfs:subClassOf,cn:agaric
cn:plum_tomato,rdfs:subClassOf,cn:fruit
cn:saccharomyces_pastorianus,rdfs:subClassOf,cn:fungus
cn:cabbage,cn:causes,cn:gas
cn:chocolate,cn:receivesAction,cn:melted
cn:streuselkuchen,rdfs:subClassOf,cn:food
cn:japchae,rdfs:subClassOf,cn:food
cn:kabob,rdfs:subClassOf,cn:dish
cn:plant,rdfs:subClassOf,cn:organism
cn:tourtiere,rdfs:subClassOf,cn:meat_pie
cn:methanogen,rdfs:subClassOf,cn:organism
cn:state,cn:madeOf,cn:counties
cn:chanterelle,rdfs:subClassOf,cn:edible_mushroom
cn:battenberg_cake,rdfs:subClassOf,cn:food
cn:wyoming,rdfs:subClassOf,cn:state
cn:pholiota_aurea,rdfs:subClassOf,cn:agaric
cn:fudge,rdfs:subClassOf,cn:food
cn:wine,rdfs:subClassOf,cn:food
cn:matter,cn:hasA,cn:no_electrical_charge
cn:color,cn:hasA,cn:wave_lengths
cn:broccoli_rabe,rdfs:subClassOf,cn:vegetable
cn:nephroma,rdfs:subClassOf,cn:fungus
cn:compound_leaf,rdfs:subClassOf,cn:leaf
cn:entoloma_lividum,rdfs:subClassOf,cn:agaric
cn:cracked_wheat_bread,rdfs:subClassOf,cn:bread
cn:meat,cn:usedFor,cn:protein_nutrients
cn:world_power,rdfs:subClassOf,cn:state
cn:banana_sandwich,rdfs:subClassOf,cn:sandwich
cn:stodge,rdfs:subClassOf,cn:nutriment
cn:food,cn:receivesAction,cn:bought_with_currency
cn:leaf,cn:capableOf,cn:fall_from_tree
cn:traffic_light,cn:hasProperty,cn:green
cn:cortinarius_subfoetidus,rdfs:subClassOf,cn:agaric
cn:tortilla,cn:definedAs,cn:substrate_for_tostada
cn:crème_caramel,cn:instanceOf,cn:dessert
cn:armillaria_zelleri,rdfs:subClassOf,cn:agaric
cn:ice,cn:hasProperty,cn:solid
cn:red,rdfs:subClassOf,cn:color
cn:tagliatelle,rdfs:subClassOf,cn:food
cn:bay_window,cn:usedFor,cn:decoration
cn:three_sisiters_tomato,rdfs:subClassOf,cn:fruit
cn:florida,rdfs:subClassOf,cn:state
cn:cooking,cn:causes,cn:food
cn:octahedron,rdfs:subClassOf,cn:solid
cn:simple_leaf,rdfs:subClassOf,cn:leaf
cn:cretons,rdfs:subClassOf,cn:food
cn:oliebol,rdfs:subClassOf,cn:food
cn:pizza,rdfs:subClassOf,cn:fast_food
cn:botargo,rdfs:subClassOf,cn:food
cn:cortinarius_atkinsonianus,rdfs:subClassOf,cn:agaric
cn:moussaka,rdfs:subClassOf,cn:dish
cn:masala_chai,rdfs:subClassOf,cn:food
cn:bread,cn:capableOf,cn:rise_slowly
cn:basket_with_handle,cn:usedFor,cn:decoration
cn:meat,rdfs:subClassOf,cn:dead_flesh_of_animal
cn:chinese_food_often,cn:hasA,cn:meat
cn:sicilian_pizza,rdfs:subClassOf,cn:pizza
cn:watches,cn:hasProperty,cn:solid
cn:bavarian_cream,cn:instanceOf,cn:dessert
cn:hygrophorus_marzuolus,rdfs:subClassOf,cn:fungus
cn:carbonnade_flamande,rdfs:subClassOf,cn:dish
cn:pizza,cn:causesDesire,cn:drink
cn:connecticut,rdfs:subClassOf,cn:state
cn:summer_pudding,rdfs:subClassOf,cn:food
cn:green_smut_fungus,rdfs:subClassOf,cn:fungus
cn:leaf,cn:receivesAction,cn:used_by_plant_for_photosynthesis
cn:sukiyaki,rdfs:subClassOf,cn:dish
cn:magiritsa,rdfs:subClassOf,cn:food
cn:meat,cn:receivesAction,cn:sold_by_butcher
cn:mexican_state,rdfs:subClassOf,cn:state
cn:taiyaki,rdfs:subClassOf,cn:food
cn:pepperoni,rdfs:subClassOf,cn:salami
cn:lettuce,rdfs:subClassOf,cn:salad_green
cn:piece_of_coal,cn:usedFor,cn:decoration
cn:welsh_rarebit,rdfs:subClassOf,cn:dish
cn:strawberry,rdfs:subClassOf,cn:plant
cn:headcheese,rdfs:subClassOf,cn:sausage
cn:cottage_cheese,rdfs:subClassOf,cn:cheese
cn:class,rdfs:subClassOf,cn:course
cn:stinky_tofu,rdfs:subClassOf,cn:food
cn:australian_state,rdfs:subClassOf,cn:state
cn:embryo,rdfs:subClassOf,cn:living_thing
cn:perishables,rdfs:subClassOf,cn:foodstuff
cn:living_thing,cn:capableOf,cn:experience_pain
cn:tiramisu,cn:instanceOf,cn:dessert
cn:food,cn:hasProperty,cn:spicy_hot
cn:bagna_càuda,rdfs:subClassOf,cn:food
cn:glomus,rdfs:subClassOf,cn:fungus
cn:nasi_goreng,rdfs:subClassOf,cn:food
cn:lorchel,rdfs:subClassOf,cn:fungus
cn:mashed_potato,rdfs:subClassOf,cn:food
cn:rodent,rdfs:subClassOf,cn:meat
cn:mexican,rdfs:subClassOf,cn:food
cn:bread,cn:madeOf,cn:dough
cn:jicama,rdfs:subClassOf,cn:vegetable
cn:crème_caramel,rdfs:subClassOf,cn:food
cn:violet,rdfs:subClassOf,cn:color
cn:risotto,rdfs:subClassOf,cn:food
cn:ham_hock,rdfs:subClassOf,cn:food
cn:liquid,cn:similarTo,cn:musical
cn:bread,cn:hasA,cn:crust
cn:dish,cn:usedFor,cn:eat_pudding
cn:fettuccine,rdfs:subClassOf,cn:food
cn:food,cn:capableOf,cn:provide_comfort
cn:croissant,rdfs:subClassOf,cn:food
cn:fruit,rdfs:subClassOf,cn:another_name_for_homosexual
cn:leaf,cn:definedAs,cn:singular_form_of_leaves
cn:yellow_peppers,rdfs:subClassOf,cn:vegetables
cn:blintz,rdfs:subClassOf,cn:food
cn:gluten_bread,rdfs:subClassOf,cn:bread
cn:chocolate,cn:capableOf,cn:sweet_or_slightly_bitter
cn:one_cost_of_college,rdfs:subClassOf,cn:food
cn:ice,rdfs:subClassOf,cn:solid
cn:vegetables,cn:receivesAction,cn:grown_in_gardens
cn:ink_in_pens,cn:hasProperty,cn:green
cn:food,cn:capableOf,cn:tastes_better_with_salt
cn:matter,rdfs:subClassOf,cn:energy
cn:coquille,rdfs:subClassOf,cn:dish
cn:sharpness,rdfs:subClassOf,cn:shape
cn:meat_sausage,rdfs:subClassOf,cn:sausage
cn:leaf,cn:usedFor,cn:photosynthesis
cn:color,cn:createdBy,cn:neurological_processes
cn:mississippi,rdfs:subClassOf,cn:state
cn:jazz_apple,rdfs:subClassOf,cn:fruit
cn:kosher,rdfs:subClassOf,cn:nutriment
cn:rhodotorula,rdfs:subClassOf,cn:fungus
cn:tricholoma_pessundatum,rdfs:subClassOf,cn:agaric
cn:cheeseburger,cn:instanceOf,cn:main_course
cn:split,rdfs:subClassOf,cn:frozen_dessert
cn:lettuce,rdfs:subClassOf,cn:herb
cn:burger,rdfs:subClassOf,cn:sandwich
cn:sating_hunger,cn:hasPrerequisite,cn:food
cn:tricholoma_aurantium,rdfs:subClassOf,cn:agaric
cn:crêpe,rdfs:subClassOf,cn:food
cn:bread_mold,rdfs:subClassOf,cn:fungus
cn:peach,cn:dbpedia/genus,cn:prunus
cn:garlic,rdfs:subClassOf,cn:ingredient
cn:tapas,rdfs:subClassOf,cn:food
cn:book,rdfs:subClassOf,cn:object
cn:funeral_potatoes,rdfs:subClassOf,cn:food
cn:grass_jelly,rdfs:subClassOf,cn:food
cn:ottoman,cn:usedFor,cn:decoration
cn:milk,rdfs:subClassOf,cn:liquid
cn:fish_stick,rdfs:subClassOf,cn:dish
cn:emerald,rdfs:subClassOf,cn:green
cn:squash_bug,cn:hasProperty,cn:triangular
cn:tangyuan,rdfs:subClassOf,cn:food
cn:belarusian_state,rdfs:subClassOf,cn:state
cn:earthball,rdfs:subClassOf,cn:fungus
cn:meat,rdfs:subClassOf,cn:food
cn:hamburger,cn:receivesAction,cn:bought_at_fastfood_joint
cn:chromatic_color,rdfs:subClassOf,cn:color
cn:potato_bread,rdfs:subClassOf,cn:food
cn:pumpkin_pie,rdfs:subClassOf,cn:dessert
cn:food,cn:hasProperty,cn:edible
cn:poisonous_parasol,rdfs:subClassOf,cn:lepiota
cn:ringworm,rdfs:subClassOf,cn:fungus
cn:bread,rdfs:subClassOf,cn:baked_food
cn:agaricus_campestris,rdfs:subClassOf,cn:fungus
cn:parsley_leaf,rdfs:subClassOf,cn:leaf
cn:food,cn:capableOf,cn:feed_animals
cn:worthless_object,rdfs:subClassOf,cn:object
cn:dark_bread,rdfs:subClassOf,cn:bread
cn:tobacco_leaf,rdfs:subClassOf,cn:leaf
cn:psilocybe,rdfs:subClassOf,cn:fungus
cn:soviets,rdfs:subClassOf,cn:state
cn:sporophyll,rdfs:subClassOf,cn:leaf
cn:cortinarius_semisanguineus,rdfs:subClassOf,cn:agaric
cn:chicken_feet,rdfs:subClassOf,cn:food
cn:cucumber,cn:dbpedia/genus,cn:cucumis
cn:tremella,rdfs:subClassOf,cn:fungus
cn:ireland,rdfs:subClassOf,cn:state
cn:naengmyeon,cn:instanceOf,cn:soup
cn:koeksister,rdfs:subClassOf,cn:food
cn:macowanites_americanus,rdfs:subClassOf,cn:fungus
cn:deli_slice,rdfs:subClassOf,cn:meat
cn:pickle,rdfs:subClassOf,cn:vegetable
cn:purple,rdfs:subClassOf,cn:colour
cn:dish,rdfs:subClassOf,cn:non_powered_device
cn:shape,rdfs:subClassOf,cn:geometric_figure
cn:unripe_banana_peels,cn:hasProperty,cn:green
cn:pea_soup,cn:instanceOf,cn:soup
cn:tunaburger,rdfs:subClassOf,cn:sandwich
cn:chistorra,rdfs:subClassOf,cn:food
cn:cucumber,rdfs:subClassOf,cn:melon
cn:flexion,rdfs:subClassOf,cn:living_thing
cn:hair_color,rdfs:subClassOf,cn:color
cn:root_vegetable,rdfs:subClassOf,cn:vegetable
cn:cereal_grain,rdfs:subClassOf,cn:fruit
cn:gymnopilus_spectabilis,rdfs:subClassOf,cn:agaric
cn:caesar_salad,rdfs:subClassOf,cn:food
cn:sherbet,rdfs:subClassOf,cn:frozen_dessert
cn:cendol,cn:instanceOf,cn:dessert
cn:string_cheese,rdfs:subClassOf,cn:cheese
cn:shepherd's_pie,rdfs:subClassOf,cn:meat_pie
cn:morchellaceae,rdfs:subClassOf,cn:fungus
cn:matter,cn:hasA,cn:three_states
cn:zucchini,rdfs:subClassOf,cn:vegetable
cn:hamburger,rdfs:subClassOf,cn:meat_on_bun
cn:vegetables,rdfs:subClassOf,cn:tubers
cn:conchiglie,rdfs:subClassOf,cn:food
cn:ergot,rdfs:subClassOf,cn:fungus
cn:entoloma,rdfs:subClassOf,cn:fungus
cn:t_bone_steak,rdfs:subClassOf,cn:food
cn:diamond,cn:usedFor,cn:decoration
cn:fish_and_chips,rdfs:subClassOf,cn:food
cn:carpeting,cn:usedFor,cn:decoration
cn:ice_cream,cn:hasProperty,cn:cold_creamy_and_sweet
cn:food,cn:causesDesire,cn:eat
cn:cortinarius_gentilis,rdfs:subClassOf,cn:agaric
cn:lactarius,rdfs:subClassOf,cn:fungus
cn:false_morel,rdfs:subClassOf,cn:fungus
cn:diminishing_own_hunger,cn:hasPrerequisite,cn:food
cn:asparagus,rdfs:subClassOf,cn:vegetable
cn:dish,cn:receivesAction,cn:served
cn:lobster_thermidor,rdfs:subClassOf,cn:dish
cn:liquid,rdfs:subClassOf,cn:substance
cn:object,rdfs:subClassOf,cn:composite_type
cn:waxycap,rdfs:subClassOf,cn:agaric
cn:olive,rdfs:subClassOf,cn:color
cn:honey,rdfs:subClassOf,cn:food
cn:ratatouille,rdfs:subClassOf,cn:food
cn:spirit,rdfs:subClassOf,cn:liquid
cn:meat,cn:usedFor,cn:food
cn:bottle,cn:hasA,cn:liquid
cn:bruschetta,rdfs:subClassOf,cn:food
cn:jalebi,rdfs:subClassOf,cn:food
cn:apple,cn:usedFor,cn:dessert
cn:poultry,rdfs:subClassOf,cn:meat
cn:macedoine,rdfs:subClassOf,cn:dish
cn:floccose_chanterelle,rdfs:subClassOf,cn:agaric
cn:arepa,rdfs:subClassOf,cn:food
cn:beignet,rdfs:subClassOf,cn:food
cn:floating_island,cn:instanceOf,cn:dessert
cn:chicken_sandwich,rdfs:subClassOf,cn:sandwich
cn:plum,rdfs:subClassOf,cn:fruit
cn:complexion,rdfs:subClassOf,cn:color
cn:african_oil_palm_fruit,rdfs:subClassOf,cn:fruit
cn:yogurt,rdfs:subClassOf,cn:food
cn:crabmeat,rdfs:subClassOf,cn:meat
cn:food,cn:receivesAction,cn:eaten_by_people
cn:tissue,rdfs:subClassOf,cn:living_thing
cn:food,cn:capableOf,cn:spilt_on_tablecloth
cn:liquorice,rdfs:subClassOf,cn:food
cn:lepiota_clypeolaria,rdfs:subClassOf,cn:lepiota
cn:staying_healthy,cn:hasPrerequisite,cn:food
cn:margarine,rdfs:subClassOf,cn:yellow
cn:haggis,rdfs:subClassOf,cn:dish
cn:hamburgers,rdfs:subClassOf,cn:meat
cn:disposable,cn:similarTo,cn:liquid
cn:st_andre_cheese,rdfs:subClassOf,cn:cheese
cn:hot_chicken,rdfs:subClassOf,cn:food
cn:province,rdfs:subClassOf,cn:state
cn:flax_fruit,rdfs:subClassOf,cn:fruit
cn:dolma,rdfs:subClassOf,cn:food
cn:cauliflower,cn:hasProperty,cn:white
cn:butterhead_lettuce,rdfs:subClassOf,cn:lettuce
cn:rickenella,rdfs:subClassOf,cn:fungus
cn:lemon,rdfs:subClassOf,cn:living_thing
cn:produce,rdfs:subClassOf,cn:produce_market_category
cn:peas,rdfs:subClassOf,cn:food
cn:yellow_spot_fungus,rdfs:subClassOf,cn:fungus
cn:pholiota_destruens,rdfs:subClassOf,cn:agaric
cn:bockwurst,rdfs:subClassOf,cn:food
cn:soup,rdfs:subClassOf,cn:course
cn:strawberry,cn:dbpedia/genus,cn:fragaria
cn:venison,rdfs:subClassOf,cn:meat
cn:cannelloni,rdfs:subClassOf,cn:food
cn:peanut_butter_sandwich,rdfs:subClassOf,cn:sandwich
cn:fruit,cn:hasA,cn:water
cn:lettuce,rdfs:subClassOf,cn:plant
cn:azure,rdfs:subClassOf,cn:color
cn:crust,cn:partOf,cn:pizza
